"MANDT","KURST","FCURR","TCURR","GDATU","UKURS","FFACT","TFACT"
"800","EURX","SIT","EUR","79949796","-184.76500","0","0"
"800","EURX","GBP","EUR","79958889","-69.77000","0","0"
"811","EURX","USD","EUR","79998980","-0.84110","1","1"
"800","1002","DEM","USD","80009898","0.55000","0","0"
"800","EURG","JPY","EUR","79949879","-134.04500","0","0"
"800","EURX","AUD","EUR","79949382","-1.56740","0","0"
"800","EURX","CLP","EUR","79959178","-780.31000","0","0"
"800","EURX","JPY","EUR","79949391","-131.61000","0","0"
"800","EURX","SIT","EUR","79949797","-183.88500","0","0"
"811","EURX","USD","EUR","80009098","-1.07910","0","0"
"800","EURX","PLN","EUR","79949573","-4.21300","0","0"
"800","1002","DEM","USD","80049898","0.62000","0","0"
"800","EURX","GBP","EUR","79958890","-69.55000","0","0"
"800","EURX","AUD","EUR","79949383","-1.56730","0","0"
"800","EURX","CLP","EUR","79959179","-780.31000","0","0"
"800","EURG","JPY","EUR","79949880","-133.69500","0","0"
"811","EURX","USD","EUR","80009168","-1.03540","0","0"
"800","EURX","JPY","EUR","79949393","-131.31000","0","0"
"800","EURX","SIT","EUR","79949798","-183.95000","0","0"
"800","EURX","AUD","EUR","79949385","-1.57590","0","0"
"800","EURX","CLP","EUR","79959180","-781.48000","0","0"
"800","EURX","PLN","EUR","79949574","-4.19420","0","0"
"800","EURX","GBP","EUR","79958891","-69.58000","0","0"
"811","EURX","USD","EUR","80009169","-1.04020","0","0"
"800","EURG","JPY","EUR","79949881","-133.18500","0","0"
"800","EURX","AUD","EUR","79949386","-1.58150","0","0"
"800","EURX","JPY","EUR","79949397","-132.73500","0","0"
"800","EURX","CLP","EUR","79959181","-781.79000","0","0"
"800","EURX","SIT","EUR","79949868","-183.99500","0","0"
"811","EURX","USD","EUR","80009172","-1.03230","0","0"
"800","1002","DEM","USD","80059898","0.60000","0","0"
"800","EURX","AUD","EUR","79949389","-1.58910","0","0"
"800","EURX","PLN","EUR","79949577","-4.17500","0","0"
"800","EURX","CLP","EUR","79959182","-787.04000","0","0"
"800","EURG","JPY","EUR","79949882","-133.46500","0","0"
"800","EURX","SIT","EUR","79949869","-183.78500","0","0"
"800","EURX","JPY","EUR","79949398","-133.01500","0","0"
"800","EURX","GBP","EUR","79958892","-69.87000","0","0"
"800","EURX","AUD","EUR","79949390","-1.59510","0","0"
"800","1002","ESP","USD","80049898","0.00950","0","0"
"811","EURX","USD","EUR","80009173","-1.02940","0","0"
"800","EURX","CLP","EUR","79959183","-790.67000","0","0"
"800","EURX","PLN","EUR","79949578","-4.17400","0","0"
"800","EURX","JPY","EUR","79949468","-133.38500","0","0"
"800","EURX","SIT","EUR","79949870","-183.78500","0","0"
"800","1002","ESP","USD","80059898","0.00750","0","0"
"800","EURG","JPY","EUR","79949883","-133.67000","0","0"
"800","EURX","CLP","EUR","79959184","-791.40000","0","0"
"800","EURX","AUD","EUR","79949468","-1.63340","0","0"
"811","EURX","USD","EUR","80009174","-1.03750","0","0"
"800","EURX","GBP","EUR","79958893","-69.87000","0","0"
"800","1002","FRF","USD","80049898","0.18500","0","0"
"800","EURX","CLP","EUR","79959185","-791.40000","0","0"
"800","EURX","JPY","EUR","79949469","-134.61500","0","0"
"800","EURX","PLN","EUR","79949579","-4.16400","0","0"
"800","EURX","AUD","EUR","79949483","-1.66810","0","0"
"811","EURX","USD","EUR","80009175","-1.04070","0","0"
"800","EURG","JPY","EUR","79949884","-133.67000","0","0"
"800","EURX","SIT","EUR","79949871","-183.78500","0","0"
"800","1002","FRF","USD","80059898","0.17500","0","0"
"800","EURX","GBP","EUR","79958894","-69.87000","0","0"
"800","EURX","CLP","EUR","79959186","-791.40000","0","0"
"800","EURX","JPY","EUR","79949472","-135.42500","0","0"
"800","EURX","AUD","EUR","79949494","-1.65710","0","0"
"811","EURX","USD","EUR","80009176","-1.04340","0","0"
"800","EURX","SIT","EUR","79949872","-183.95500","0","0"
"800","1002","GBP","USD","80049898","1.65000","0","0"
"800","EURX","PLN","EUR","79949580","-4.18000","0","0"
"800","EURX","CLP","EUR","79959187","-788.19000","0","0"
"800","EURX","JPY","EUR","79949473","-135.45500","0","0"
"811","EURX","USD","EUR","80009179","-1.05210","0","0"
"800","EURG","JPY","EUR","79949885","-133.67000","0","0"
"800","EURX","GBP","EUR","79958895","-69.79000","0","0"
"800","EURX","AUD","EUR","79949671","-1.67490","0","0"
"800","EURX","SIT","EUR","79949873","-183.41500","0","0"
"800","1002","GBP","USD","80059898","1.53000","0","0"
"800","EURX","CLP","EUR","79959188","-781.35000","0","0"
"811","EURX","USD","EUR","80009180","-1.04660","0","0"
"800","EURX","JPY","EUR","79949474","-135.58000","0","0"
"800","EURX","AUD","EUR","79949674","-1.67860","0","0"
"800","EURX","SIT","EUR","79949874","-184.85500","0","0"
"800","EURX","PLN","EUR","79949581","-4.18840","0","0"
"800","EURG","JPY","EUR","79949886","-135.33500","0","0"
"800","1003","AUD","USD","80059898","0.65000","0","0"
"800","EURX","GBP","EUR","79958896","-69.35000","0","0"
"800","EURX","CLP","EUR","79959189","-781.33000","0","0"
"800","EURX","JPY","EUR","79949475","-135.45000","0","0"
"800","EURX","AUD","EUR","79949786","-1.63750","0","0"
"811","EURX","USD","EUR","80009181","-1.04910","0","0"
