"MANDT","WAERS","ISOCD","ALTWR","GDATU","XPRIMARY"
"800","MUR","MUR","480","00000000",""
"001","EGP","EGP","818","00000000",""
"812","RWF","RWF","","00000000",""
"800","MVR","MVR","462","00000000",""
"812","SAR","SAR","","00000000",""
"800","MWK","MWK","454","00000000",""
"001","ERN","ERN","232","00000000",""
"812","SBD","SBD","","00000000",""
"800","MXN","MXN","484","00000000",""
"001","ESP","ESP","724","00000000",""
"812","SCR","SCR","","00000000",""
"800","MXP","MXP","","19931231",""
"001","ETB","ETB","230","00000000",""
"812","SDP","SDP","","00000000",""
"800","MYR","MYR","458","00000000",""
"001","EUR","EUR","978","00000000",""
"812","SGD","SGD","","00000000",""
"800","MZM","MZM","508","00000000",""
"001","EUR4","EU4","978","00000000",""
"800","NAD","NAD","516","00000000",""
"812","SHP","SHP","","00000000",""
"800","NGN","NGN","566","00000000",""
"812","SIT","SIT","","00000000",""
"001","FIM","FIM","246","00000000",""
"800","NIC","NIC","","00000000",""
"812","SKK","SKK","","00000000",""
"001","FJD","FJD","242","00000000",""
"800","NIO","NIO","558","00000000",""
"812","SLL","SLL","","00000000",""
"812","SOS","SOS","","00000000",""
"800","NLG","NLG","528","00000000",""
"001","FKP","FKP","238","00000000",""
"812","SRG","SRG","","00000000",""
"800","NOK","NOK","578","00000000",""
"001","FRF","FRF","250","00000000",""
"812","STD","STD","","00000000",""
"800","NPR","NPR","524","00000000",""
"812","SUR","SUR","","00000000",""
"001","GBP","GBP","826","00000000",""
"800","NUC","","","00000000",""
"812","SVC","SVC","","00000000",""
"800","NZD","NZD","554","00000000",""
"001","GEL","GEL","981","00000000",""
"812","SYP","SYP","","00000000",""
"800","OMR","OMR","512","00000000",""
"812","SZL","SZL","","00000000",""
"800","PAB","PAB","590","00000000",""
"001","GHC","GHC","288","00000000",""
"812","THB","THB","","00000000",""
"800","PEI","PEI","","00000000",""
"812","TJR","TJR","","00000000",""
"001","GIP","GIP","292","00000000",""
"800","PEN","PEN","604","00000000",""
"812","TMM","TMM","","00000000",""
"800","PGK","PGK","598","00000000",""
"001","GMD","GMD","270","00000000",""
"800","PHP","PHP","608","00000000",""
"812","TND","TND","","00000000",""
"001","GNF","GNF","324","00000000",""
"800","PKR","PKR","586","00000000",""
"812","TOP","TOP","","00000000",""
"001","GRD","GRD","300","00000000",""
"800","PKT","PKT","","00000000",""
"812","TPE","TPE","","00000000",""
"001","GTQ","GTQ","320","00000000",""
"800","PLN","PLN","985","00000000",""
"812","TRL","TRL","","00000000",""
"800","PLZ","PLZ","","00000000",""
"001","GWP","GWP","624","00000000",""
"812","TTD","TTD","","00000000",""
"800","PTE","PTE","620","00000000",""
"001","GYD","GYD","328","00000000",""
"812","TWD","TWD","","00000000",""
"800","PYG","PYG","600","00000000",""
"001","HKD","HKD","344","00000000",""
"812","TZS","TZS","","00000000",""
"800","QAR","QAR","634","00000000",""
"001","HNL","HNL","340","00000000",""
"812","UAH","UAH","","00000000",""
"800","RMB","CNY","156","00000000",""
"001","HRK","HRK","191","00000000",""
"812","UGX","UGX","","00000000",""
"800","ROL","ROL","642","00000000",""
"001","HTG","HTG","332","00000000",""
"812","UYU","UYU","","00000000",""
"800","RON","RON","RON","00000000",""
"001","HUF","HUF","348","00000000",""
"812","VEB","VEB","","00000000",""
"001","IDR","IDR","360","00000000",""
"800","RUB","RUB","643","00000000",""
"812","VND","VND","","00000000",""
"001","IEP","IEP","372","00000000",""
"800","RUR","RUR","RUR","00000000",""
"812","VUV","VUV","","00000000",""
"800","RWF","RWF","646","00000000",""
"001","ILS","ILS","376","00000000",""
"812","WST","WST","","00000000",""
"800","SAR","SAR","682","00000000",""
"001","INR","INR","356","00000000",""
"812","XAF","XAF","","00000000",""
"800","SBD","SBD","090","00000000",""
"001","IQD","IQD","368","00000000",""
"812","XCD","XCD","","00000000",""
"800","SCR","SCR","690","00000000",""
"001","IRR","IRR","364","00000000",""
"812","XDS","XDS","","00000000",""
"800","SDD","SDD","736","00000000",""
"001","ISK","ISK","352","00000000",""
"812","XEU","XEU","","00000000",""
"800","SDP","SDP","736","00000000",""
"001","ITL","ITL","380","00000000",""
"812","XOF","XOF","","00000000",""
"800","SEK","SEK","752","00000000",""
"812","XPF","XPF","","00000000",""
"001","JMD","JMD","388","00000000",""
"800","SGD","SGD","702","00000000",""
"812","YER","YER","","00000000",""
"001","JOD","JOD","400","00000000",""
"800","SHP","SHP","654","00000000",""
"812","ZAR","ZAR","","00000000",""
"001","JPY","JPY","392","00000000",""
"800","SIT","SIT","705","00000000",""
"812","ZMK","ZMK","","00000000",""
"001","KES","KES","404","00000000",""
"800","SKK","SKK","703","00000000",""
"812","ZRN","ZRN","","00000000",""
"001","KGS","KGS","417","00000000",""
"800","SLL","SLL","694","00000000",""
"812","ZWD","ZWD","","00000000",""
"001","KHR","KHR","116","00000000",""
"000","AMD","AMD","051","00000000",""
"800","SOS","SOS","706","00000000",""
"001","KMF","KMF","174","00000000",""
"000","ANG","ANG","532","00000000",""
